year,GDP_bil,population_mil,fuel_mass_prod,fuel_mass_cons,fuel_mass_fin,exergy_prod,exergy_cons,exergy_fin
1963,2559.4,188.4,1167.599,1144.294,831.104,45.969,45.632,37.052
1962,2454.8,185.7,1106.324,1098.746,806.707,43.72,43.783,35.969
1961,2314.3,183,1072.81,1065.852,789.196,42.379,42.35,34.575
1960,2262.9,179.3,1072.907,1055.671,781.037,42.098,41.698,34.187
1959,2210.2,177.1,1057.683,1029.408,763.873,41.219,40.531,32.936
1958,2057.5,174.1,1020.443,992.192,745.551,39.348,38.633,31.87
1957,2078.5,171.2,1119.353,1056.827,764.301,42.234,40.596,31.614
1956,2040.2,168.1,1120.507,1061.581,778.855,42.01,40.355,31.916
1955,2001.1,165.1,1055.371,1021.134,761.42,39.695,38.341,30.803
1954,1868.2,161.9,957.73,930.3,699.55,36.206,34.968,28.215
1953,1881.4,159,1019.445,983.504,748.999,37.758,36.439,28.822
1952,1798.7,156.4,1018.51,956.371,739.389,37.469,35.484,28.466
1951,1734,154,1069.08,987.73,771.329,38.27,35.681,28.738
1950,1611.3,151.3,994.175,924.269,746.158,35.116,32.582,27.182
1949,1479.8,148.7,897.257,879.446,717.942,31.424,30.41,25.205
1948,1488.6,146.7,1070.135,960.263,794.101,36.402,32.726,24.841
1947,1426.2,144.1,1068.513,955.133,738.433,35.556,31.642,24.326
1946,1437.9,140.7,958.112,880.363,702.655,31.977,28.948,22.813
1945,1632.7,133.4,990.669,928.802,737.279,32.603,29.947,23.364
1944,1660.5,133.9,1024.175,946.117,741.805,33.273,30.204,23.271
1943,1551.6,135.1,955.553,915.756,719.896,30.617,28.698,22.072
1942,1370.4,134.6,924.135,847.904,667.232,29.256,26.492,20.401
1941,1213.3,133.7,869.305,824.349,656.252,27.422,25.707,20.06
1940,1044.7,132.5,807.503,750.389,604.699,25.438,23.35,18.396
1939,963.6,130.9,735.491,689.501,567.683,23.095,21.317,17.09
1938,887.5,129.8,679.177,639.744,540.082,21.243,19.658,16.101
1937,934.4,128.8,775.429,730.36,601.227,23.95,22.19,17.734
1936,888.7,128.1,743.516,700.055,582.79,22.382,20.95,16.869
1935,779.6,127.3,667.943,636.901,542.328,19.981,18.848,15.477
1934,709.6,126.4,651.71,617.335,526.236,19.182,17.911,14.666
1933,650.8,125.6,619.715,588.384,510.131,18.359,17.211,14.392
1932,663.7,124.8,580.96,572.632,501.423,17.075,16.711,14.075
1931,778.3,124,655.205,638.053,542.575,19.532,18.918,15.515
1930,843.5,123.1,741.285,730.055,608.543,22.146,21.834,17.561
1929,937.2,121.8,807.374,767.058,631.507,24.324,22.854,18.017
1928,878.3,120.5,755.338,732.134,611.767,22.636,21.675,17.371
1927,873,119,771.815,722.444,605.739,22.972,21.179,17.021
1926,873.2,117.4,802.141,747.114,625.506,23.538,21.906,17.602
1925,825.1,115.8,732.71,702.712,590.941,21.606,20.563,16.65
1924,760.9,114.1,718.58,696.858,597.006,21.087,20.219,16.661
1923,763.1,112,796.235,732.064,615.024,22.912,21.173,17.141
1922,680.3,110.1,610.495,608.639,525.072,17.434,17.206,14.281
1921,587.4,108.5,634.238,599.567,534.94,17.553,16.519,14.15
1920,643.6,106.5,766.811,706.05,600.469,21.086,19.389,15.765
1919,673.1,104.5,662.151,635.292,547.859,18.133,17.343,14.254
1918,698.7,103.2,775.976,743.896,641.39,21.078,20.105,16.498
1917,621.5,103.3,745.221,709.872,607.943,20.308,19.217,15.648
1916,617.1,102,681.922,649.693,554.473,18.616,17.578,14.262
1915,573.2,100.6,623.728,595.82,520.694,16.955,16.057,13.378
1914,578.3,99.1,604.371,579.401,515.684,16.386,15.567,13.226
1913,605.2,97.2,648.711,618.767,540.472,17.578,16.622,13.836
1912,598.1,95.4,612.067,586.325,512.668,16.548,15.699,13.076
1911,565.9,93.9,583.537,556.784,496.323,15.753,14.921,12.706
1910,552.3,92.4,582.62,562.48,494.594,15.746,15.064,12.636
1909,537.2,90.5,539.49,519.798,456.424,14.544,13.874,11.613
1908,461.6,88.7,499.435,481.343,437.427,13.425,12.809,11.142
1907,503,87,553.181,534.932,471.254,14.817,14.209,11.936
1906,494.4,85.5,488.977,473.889,417.112,13.033,12.51,10.49
1905,442.4,83.8,473.112,459.334,409.197,12.595,12.117,10.306
1904,413.1,82.2,435.924,423.697,385.93,11.54,11.118,9.695
1903,418,80.6,441.789,432.058,392.68,11.548,11.198,9.725
1902,399,79.2,392.577,383.927,344.964,10.203,9.877,8.469
1901,395.1,77.6,385.247,374.668,340.931,9.852,9.474,8.223
1900,354,76.1,365.776,355.194,323.484,9.29,8.92,7.754
